Figure,Time (s),RBM10,mCherry,ccpCF V-R,ccpCF R-V,,Figure,Time (s),RBM10,mCherry,ccpCF V-R,ccpCF R-V
Figure 5d,0.097453186,0.737826977,0.060256717,0.006275448,-1.847311888,,Figure 5e,0.097453186,0.737819502,0.215148704,-3.080389542,-4.145355067
Figure 5d,0.100923514,0.741885921,0.060423761,0.009470354,-1.88683245,,Figure 5e,0.100923514,0.741878591,0.214448565,-3.001517135,-4.145225406
Figure 5d,0.10451742,0.744473474,0.059781229,0.010987229,-1.922978031,,Figure 5e,0.10451742,0.744466358,0.212639735,-2.925896496,-4.137010009
Figure 5d,0.108239306,0.745480587,0.058312951,0.010808837,-1.955779736,,Figure 5e,0.108239306,0.745473752,0.209711801,-2.854076478,-4.121123561
Figure 5d,0.112093729,0.744795583,0.056042765,0.008963611,-1.985219881,,Figure 5e,0.112093729,0.744789096,0.205708089,-2.786412742,-4.097977045
Figure 5d,0.116085409,0.742350157,0.052978392,0.005498703,-2.011253391,,Figure 5e,0.116085409,0.742344083,0.200654653,-2.723296165,-4.06801918
Figure 5d,0.120219234,0.738071244,0.049169898,0.000452203,-2.033914929,,Figure 5e,0.120219234,0.738065647,0.194636451,-2.665282807,-4.031874335
Figure 5d,0.124500265,0.731891249,0.044684075,-0.006053601,-2.053251772,,Figure 5e,0.124500265,0.731886189,0.18774864,-2.612436968,-3.990123024
Figure 5d,0.128933744,0.723763536,0.039620587,-0.013944121,-2.069303504,,Figure 5e,0.128933744,0.72375907,0.180125686,-2.565081636,-3.943375733
Figure 5d,0.1335251,0.713692343,0.034057084,-0.023078756,-2.082035648,,Figure 5e,0.1335251,0.713688524,0.171888331,-2.523265575,-3.892238453
Figure 5d,0.138279955,0.701695443,0.028108671,-0.033277336,-2.091488711,,Figure 5e,0.138279955,0.701692319,0.16321704,-2.486800119,-3.837307478
Figure 5d,0.143204132,0.687795029,0.021892335,-0.044376289,-2.097554101,,Figure 5e,0.143204132,0.687792643,0.154276643,-2.455524887,-3.779004321
Figure 5d,0.14830366,0.672067295,0.015546606,-0.056239841,-2.100228191,,Figure 5e,0.14830366,0.672065682,0.145258871,-2.429310239,-3.717820898
Figure 5d,0.153584782,0.654603872,0.009191388,-0.068666362,-2.099428687,,Figure 5e,0.153584782,0.654603063,0.136339763,-2.407723898,-3.654122938
Figure 5d,0.159053967,0.635532829,0.002944387,-0.081471267,-2.095143564,,Figure 5e,0.159053967,0.635532846,0.127698014,-2.390302146,-3.588286101
Figure 5d,0.16471791,0.61497042,-0.003061171,-0.094541501,-2.08714051,,Figure 5e,0.16471791,0.614971278,0.119516218,-2.376774183,-3.520356665
Figure 5d,0.170583548,0.593098624,-0.008701734,-0.10769467,-2.075388345,,Figure 5e,0.170583548,0.593100333,0.111977408,-2.366509594,-3.450571618
Figure 5d,0.176658062,0.57011563,-0.013872073,-0.120817021,-2.059713535,,Figure 5e,0.176658062,0.570118188,0.105225269,-2.35916928,-3.378954809
Figure 5d,0.18294889,0.546227124,-0.018470597,-0.133803629,-2.040067966,,Figure 5e,0.18294889,0.546230523,0.099400674,-2.354220127,-3.305556131
Figure 5d,0.189463737,0.521631996,-0.02240755,-0.146482786,-2.016251824,,Figure 5e,0.189463737,0.521636219,0.094619185,-2.350854234,-3.230191681
Figure 5d,0.196210578,0.496565492,-0.025611886,-0.158783203,-1.988184611,,Figure 5e,0.196210578,0.496570516,0.090982984,-2.348666003,-3.152807203
Figure 5d,0.203197676,0.471249244,-0.028012819,-0.170625776,-1.955734031,,Figure 5e,0.203197676,0.471255035,0.088569782,-2.346991418,-3.073089316
Figure 5d,0.210433585,0.445923234,-0.029561651,-0.181945136,-1.918964344,,Figure 5e,0.210433585,0.445929754,0.08742843,-2.345318947,-2.991024295
Figure 5d,0.217927167,0.420782941,-0.03024347,-0.192634733,-1.877842601,,Figure 5e,0.217927167,0.420790144,0.087567671,-2.34288688,-2.906396039
Figure 5d,0.225687597,0.396055027,-0.030043085,-0.202653648,-1.832353877,,Figure 5e,0.225687597,0.396062862,0.088989592,-2.339226269,-2.819030412
Figure 5d,0.233724377,0.371933563,-0.028977664,-0.211949228,-1.782528393,,Figure 5e,0.233724377,0.371941974,0.091641928,-2.333759743,-2.728659457
Figure 5d,0.242047348,0.348594423,-0.027038493,-0.220468591,-1.728393313,,Figure 5e,0.242047348,0.34860335,0.095505377,-2.326029373,-2.635101099
Figure 5d,0.250666703,0.326210415,-0.02425776,-0.228108177,-1.670160139,,Figure 5e,0.250666703,0.326219795,0.100505037,-2.315247875,-2.538414967
Figure 5d,0.259592994,0.304909809,-0.020662637,-0.234808845,-1.60797266,,Figure 5e,0.259592994,0.304919579,0.106565905,-2.300927494,-2.438439069
