Time (s),RBM10,NS5,ccpCF V-R,ccpCF R-V
0.036130308292820615,0.4089130546367068,-0.00040758670673075,0.00046044138221151674,0.0003087974759615239
0.03735746790915273,0.405294867385384,-0.00036489806490382895,0.0004422503605769022,0.00031820872596152353
0.03862630778771099,0.402497795647921,-0.0003209891346153696,0.00042446307692305677,0.00032598718749998453
0.0399382435913286,0.400101653333355,-0.0002762796514422948,0.00040729460336536526,0.0003323269350961381
0.04129473906557985,0.3976523078463381,-0.0002311476562499892,0.0003907984134615198,0.0003373668028845994
0.042697307671902024,0.39469205327527335,-0.00018584950721152967,0.0003749952043269054,0.00034122649038459917
0.044147514276186024,0.39079680043259213,-0.00014062278846153193,0.0003597923317307523,0.0003439664182692145
0.04564697689471968,0.38564341466368113,-9.565586538461086e-05,0.0003450274639422914,0.0003455666706730606
0.04719736849943167,0.37898770822623784,-5.113076923076693e-05,0.00033058995192306116,0.00034593162259613736
0.04880041888445031,0.37062504197394286,-7.250673076922796e-06,0.00031637593749998507,0.00034492552884613745
0.0504579165960596,0.3604800590084756,3.578045673076756e-05,0.0003023356249999855,0.00034237456730767615
0.052171710928206015,0.34855259235244196,7.772931490384245e-05,0.000288539807692294,0.00033809180288459946
0.053943713985782175,0.33484554323807847,0.0001183040024038405,0.00027511611778844843,0.000331904182692292
0.05577590281798973,0.3194136134599541,0.00015719025240383875,0.0002623013100961414,0.0003236750240384463
0.057670321624161455,0.30235509426157825,0.0001940367908653755,0.00025036968749998794,0.00031335235576921604
0.05962908403450375,0.28377872549694416,0.0002284898557692201,0.00023964640624998855,0.000300939675480755
0.06165437546830415,0.26384210460579405,0.000260200252403834,0.00023042735576921973,0.00028653282451921727
0.06374845557223495,0.24274087482729967,0.00028887361778844804,0.0002229624519230662,0.000270277307692295
0.06591366074147322,0.2207170573720636,0.0003142375841346007,0.0002174119831730665,0.00025236780048075723
0.06815240672645076,0.19808034938884433,0.00033610908653844586,0.0002138819831730666,0.00023305450721152756
0.07046719132814094,0.17521620567046536,0.0003543723798076756,0.00021231992788460518,0.00021259391826922082
0.07286059718489163,0.15249422650610545,0.0003690398437499827,0.00021263298076922048,0.00019127228365383708
0.07533529465391117,0.13034480030555518,0.0003802099399038283,0.00021458478365383584,0.00016935806490383812
0.07789404479062484,0.10912558847425813,0.0003880431490384433,0.00021794665865383569,0.00014711763221153155
0.08053970242922331,0.08921489082366718,0.0003928325120192122,0.0002224247716346047,0.00012475109374999414
0.08327521936784266,0.0708011413439269,0.000394882524038443,0.00022774894230768138,0.00010246895432691825
0.08610364766192725,0.05395753457609276,0.0003946157211538275,0.00023365117788460419,8.042842548076546e-05
0.08902814302945236,0.03865029099317574,0.000392449399038443,0.00023987677884614234,5.87885216346126e-05
0.09205196837180335,0.024702514743018655,0.00038883247596152007,0.0002461851322115268,3.7686249999998186e-05
0.09517849741424175,0.011794306358034912,0.0003841553365384433,0.00025235295673075724,1.7275973557691458e-05
0.09841121847001916,-0.00042439392131488063,0.0003788054326922898,0.00025815288461537226,-2.2942427884614913e-06
0.10175373833233763,-0.012372953996759195,0.0003730484134615208,0.00026331698317306443,-2.0829374999999074e-05
0.10520978629850138,-0.024427235809784786,0.00036709983173075194,0.00026756849759614103,-3.814650240384442e-05
0.10878321833074633,-0.03691763335724796,0.00036101524038459825,0.0002706000721153718,-5.403417067307443e-05
0.11247802135839335,-0.05006923634190874,0.00035475915865382934,0.0002720690624999871,-6.829527644230454e-05
0.11629831772612145,-0.0639766082369348,0.00034817169471152185,0.00027167542067306407,-8.076894230768857e-05
0.12024836979332784,-0.07859420178343213,0.0003410131009615225,0.00026912924278844896,-9.135168269230346e-05
0.12433258468970232,-0.09374672411223384,0.0003329990865384458,0.00026423885817306443,-0.0001000125600961492
0.12855551923232608,-0.10918520357867278,0.00032378182692306153,0.0002568753846153726,-0.00010680604567307194
0.13292188500977675,-0.12457803142534618,0.00031303752403844665,0.00024707168269229605,-0.00011182835336537944
0.13743655363891644,-0.13958180194190045,0.00030047438701921665,0.0002349936298076812,-0.00011526969951922536
0.14210456220022316,-0.15385436174844436,0.0002858672475961403,0.00022098296874998948,-0.00011732872596153294
0.1469311188577351,-0.1670885601014931,0.0002690716947115257,0.00020547775240383647,-0.00011820156249999443
0.15192160866987248,-0.17903179359804,0.0002500171995192189,0.00018904768028845254,-0.00011805366586537902
0.1570815995976257,-0.18956864328829526,0.0002287388221153738,0.00017234356971153024,-0.0001169344110576868
0.16241684871680795,-0.19865260596777884,0.00020534554086537495,0.00015606451923076182,-0.00011486730769230231
0.16793330864130843,-0.20629983252501255,0.0001800539302884531,0.00014087406249999325,-0.0001117830889423024
0.17363713416450768,-0.21258716595712968,0.00015311372596153128,0.0001273957692307631,-0.0001075888822115334
0.17953468912627008,-0.2108655327186179,0.00012485075721153262,0.00011614530048076364,-0.00010218128605768747
0.1856325535131699,-0.2070492559915046,9.565301682691856e-05,0.00010752876201922558,-9.549760817307242e-05
0.19193753079987727,-0.2028597812452651,6.595026442307387e-05,0.00010178923076922584,-8.759590144230351e-05
0.19845665553989278,-0.19844608725711504,3.621259615384447e-05,9.903062499999516e-05,-7.866882211538086e-05
0.20519720121409837,-0.1939571528042709,6.946081730768908e-06,9.919417067307208e-05,-6.902459134615054e-05
0.21216668834588567,-0.1895419566639489,-1.0828054171485547e-05,9.889980178341885e-05,-6.658288495968478e-05
0.21937289289191012,-0.1853494776133648,-4.561016270059607e-05,9.914102825161786e-05,-6.171623661999193e-05
0.2268238549178389,-0.18152869442973474,-7.904004692893811e-05,0.00010048552286059687,-5.692352613401271e-05
0.23452788756876575,-0.17822858589027535,-0.00011072089893623255,0.00010292926458326868,-5.226665583300957e-05
0.24249358634430765,-0.1755981307722022,-0.00014025591080220237,0.00010646823239254604,-4.780752804824529e-05
0.2507298386887252,-0.17378630785273103,-0.00016724827460656995,0.00011109840526134142,-4.360804511098239e-05
0.25924583390677364,-0.17294209590907844,-0.0001913011824290571,0.00011681576216256785,-3.973010935248356e-05
0.26805107341633927,-0.17321447371846116,-0.0002120178263493866,0.0001236162820691377,-3.623562310401139e-05
0.27715538134931017,-0.1747524200580941,-0.0002290013984472807,0.00013149594395396396,-3.3186488696828505e-05
0.2865689155124986,-0.17770491370519365,-0.00024185509080246127,0.00014045072678995897,-3.0644608462197476e-05
0.29630217872085357,-0.1822209334369767,-0.00025018209549465103,0.00015047660955003585,-2.8671884731380965e-05
0.3063660305156001,-0.1884494580306586,-0.0002535856046035723,0.00016156957120710698,-2.733021983564153e-05
0.3167716992803869,-0.19653946626345553,-0.00025166881020894744,0.0001737255907340853,-2.668151610624191e-05
0.3275307947689529,-0.20663993691258342,-0.00024403490439049767,0.00018694064710388325,-2.6787675874444535e-05
0.33865532105829804,-0.21889984875525925,-0.00023028707922794682,0.0002012107192894139,-2.771060147151221e-05
0.35015768994180146,-0.2334681805686979,-0.00021002852680101667,0.00021653178626358945,-2.9512195228707493e-05
0.36205073477723987,-0.25049391113011665,-0.00018286243918942848,0.00023289982699932298,-3.2254359477293e-05
0.37434772480514605,-0.2701260192167304,-0.00014839200847290614,0.00025031082046952696,-3.5998996548531274e-05
0.38706237995349346,-0.29251348360575585,-0.00010622042673117145,0.0002687607456471144,-4.080800877368493e-05
0.4002088861452138,-0.31780528307440964,-5.595088604394609e-05,0.00028824558150499776,-4.674329848401666e-05
0.41380191112563575,-0.3461503963999071,2.813421509047665e-06,0.0003087613070160898,-5.3866768010789075e-05
0.42785662082749965,-0.3776978023594647,7.046930384808626e-05,0.00033030390115330313,-6.224031968526472e-05
0.4423886962918032,-0.4125964797302979,0.00014741356889344867,0.0003528693428895504,-7.192585583870637e-05
0.45741435116336704,-0.4509954072896235,0.0002340430245654126,0.0003764536111977447,-8.298527880237655e-05
0.4729503497806269,-0.4930435638146576,0.0003307544787842545,0.00040105268505079836,-9.548049090753764e-05
